,name,country_code,pct_agreement_w_usa,pct_agreement_w_china,pct_agreement_w_russia,cluster,period
28,CENTRAL AFRICAN REPUBLIC,CAF,25.61,46.93,41.19,0,1991-2025
35,DEMOCRATIC REPUBLIC OF THE CONGO,COD,24.71,38.88,33.39,0,1991-2025
38,COMOROS,COM,28.88,60.49,50.72,0,1991-2025
47,DOMINICA,DMA,28.05,44.95,41.85,0,1991-2025
66,GAMBIA,GMB,32.69,58.37,50.44,0,1991-2025
68,EQUATORIAL GUINEA,GNQ,24.97,38.7,34.54,0,1991-2025
81,IRAQ,IRQ,29.1,63.3,52.19,0,1991-2025
92,KIRIBATI,KIR,32.33,28.91,25.0,0,1991-2025
93,SAINT KITTS AND NEVIS,KNA,34.66,48.54,41.97,0,1991-2025
98,LIBERIA,LBR,36.95,45.33,38.53,0,1991-2025
132,NAURU,NRU,33.01,32.81,29.9,0,1991-2025
139,PALAU,PLW,51.94,30.06,30.83,0,1991-2025
148,RWANDA,RWA,29.49,45.15,40.58,0,1991-2025
158,SOMALIA,SOM,16.26,39.51,34.72,0,1991-2025
160,SOUTH SUDAN,SSD,26.15,28.62,29.65,0,1991-2025
161,SAO TOME AND PRINCIPE,STP,16.58,31.99,27.17,0,1991-2025
166,SWAZILAND,SWZ,35.62,60.55,52.26,0,1991-2025
167,SEYCHELLES,SYC,27.78,39.2,34.31,0,1991-2025
169,CHAD,TCD,30.95,53.7,45.71,0,1991-2025
173,TURKMENISTAN,TKM,24.73,54.31,49.63,0,1991-2025
175,TONGA,TON,37.09,46.13,43.21,0,1991-2025
179,TUVALU,TUV,42.41,46.16,42.78,0,1991-2025
189,VANUATU,VUT,45.81,51.16,46.35,0,1991-2025
192,YUGOSLAVIA,YUG,11.89,15.62,17.61,0,1991-2025
2,ALBANIA,ALB,65.27,55.54,63.23,1,1991-2025
3,ANDORRA,AND,69.27,62.17,71.16,1,1991-2025
5,ARGENTINA,ARG,64.95,76.36,79.43,1,1991-2025
8,AUSTRALIA,AUS,68.14,60.86,65.31,1,1991-2025
9,AUSTRIA,AUT,70.2,64.13,73.91,1,1991-2025
12,BELGIUM,BEL,69.85,63.34,72.75,1,1991-2025
16,BULGARIA,BGR,68.49,62.86,72.12,1,1991-2025
19,BOSNIA AND HERZEGOVINA,BIH,55.61,55.79,58.03,1,1991-2025
29,CANADA,CAN,72.13,60.38,68.5,1,1991-2025
30,SWITZERLAND,CHE,67.18,66.02,71.56,1,1991-2025
41,CZECHOSLOVAKIA,CSK,61.29,50.77,72.06,1,1991-2025
43,CYPRUS,CYP,66.6,71.08,69.62,1,1991-2025
44,CZECH REPUBLIC,CZE,70.76,64.13,73.48,1,1991-2025
45,GERMANY,DEU,70.59,63.86,73.7,1,1991-2025
48,DENMARK,DNK,70.8,64.83,74.66,1,1991-2025
54,SPAIN,ESP,70.35,65.85,74.94,1,1991-2025
55,ESTONIA,EST,69.72,61.58,72.38,1,1991-2025
57,FINLAND,FIN,71.01,64.02,74.49,1,1991-2025
59,FRANCE,FRA,74.76,59.28,68.64,1,1991-2025
60,MICRONESIA (FEDERATED STATES OF),FSM,72.51,36.25,46.37,1,1991-2025
62,UNITED KINGDOM,GBR,76.38,61.62,72.3,1,1991-2025
63,GEORGIA,GEO,62.85,55.39,66.94,1,1991-2025
69,GREECE,GRC,67.79,63.92,72.17,1,1991-2025
73,HONDURAS,HND,58.34,72.85,65.12,1,1991-2025
74,CROATIA,HRV,67.47,60.05,70.56,1,1991-2025
76,HUNGARY,HUN,69.93,62.63,73.0,1,1991-2025
79,IRELAND,IRL,69.6,64.59,74.22,1,1991-2025
82,ICELAND,ISL,70.27,64.42,73.61,1,1991-2025
83,ISRAEL,ISR,81.18,42.59,55.5,1,1991-2025
84,ITALY,ITA,70.14,64.05,73.08,1,1991-2025
87,JAPAN,JPN,67.23,65.26,75.15,1,1991-2025
94,REPUBLIC OF KOREA,KOR,66.63,64.37,73.39,1,1991-2025
101,LIECHTENSTEIN,LIE,68.97,63.75,73.6,1,1991-2025
104,LITHUANIA,LTU,69.97,61.41,72.42,1,1991-2025
105,LUXEMBOURG,LUX,70.38,64.12,73.85,1,1991-2025
106,LATVIA,LVA,70.45,60.4,71.87,1,1991-2025
108,MONACO,MCO,70.45,59.26,68.98,1,1991-2025
109,REPUBLIC OF MOLDOVA,MDA,67.12,59.52,70.05,1,1991-2025
113,MARSHALL ISLANDS,MHL,69.3,46.84,52.83,1,1991-2025
114,THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA,MKD,64.06,60.35,69.16,1,1991-2025
116,MALTA,MLT,69.57,68.64,70.42,1,1991-2025
118,MONTENEGRO,MNE,71.1,65.0,71.35,1,1991-2025
129,NETHERLANDS (KINGDOM OF THE),NLD,70.14,64.03,73.78,1,1991-2025
