,name,country_code,pct_agreement_w_usa,pct_agreement_w_china,pct_agreement_w_russia,cluster,period,pct_agreement_w_cccp
0,ANDORRA,AND,69.27,62.17,71.16,0,1946-2025,
1,AUSTRALIA,AUS,65.26,57.79,59.43,0,1946-2025,
2,AUSTRIA,AUT,63.57,58.73,64.79,0,1946-2025,
3,BELGIUM,BEL,72.45,54.42,58.16,0,1946-2025,
4,BOSNIA AND HERZEGOVINA,BIH,55.61,55.79,58.03,0,1946-2025,
5,CANADA,CAN,71.95,54.49,55.8,0,1946-2025,
6,SWITZERLAND,CHE,67.18,66.02,71.56,0,1946-2025,
7,CZECHIA,CZE,70.76,64.13,73.48,0,1946-2025,
8,GERMANY,DEU,70.13,63.09,72.65,0,1946-2025,
9,DENMARK,DNK,68.02,58.43,62.68,0,1946-2025,
10,SPAIN,ESP,63.62,61.52,65.76,0,1946-2025,
11,ESTONIA,EST,69.15,60.97,71.78,0,1946-2025,
12,FINLAND,FIN,60.1,58.44,66.82,0,1946-2025,
13,FRANCE,FRA,73.53,49.91,54.54,0,1946-2025,
14,MICRONESIA (FEDERATED STATES OF),FSM,71.46,37.29,46.73,0,1946-2025,
15,UNITED KINGDOM,GBR,79.68,51.18,55.09,0,1946-2025,
16,GEORGIA,GEO,62.85,55.39,66.94,0,1946-2025,
17,"GERMANY, FEDERAL REPUBLIC OF",GER,75.0,37.57,36.7,0,1946-2025,
18,GREECE,GRC,62.09,63.98,68.89,0,1946-2025,
19,CROATIA,HRV,67.47,60.05,70.56,0,1946-2025,
20,IRELAND,IRL,64.51,59.34,64.01,0,1946-2025,
21,ICELAND,ISL,63.89,59.28,62.42,0,1946-2025,
22,ISRAEL,ISR,69.87,41.7,42.87,0,1946-2025,
23,ITALY,ITA,71.22,54.8,59.28,0,1946-2025,
24,JAPAN,JPN,64.92,58.4,62.29,0,1946-2025,
25,REPUBLIC OF KOREA,KOR,66.06,64.51,72.95,0,1946-2025,
26,LIECHTENSTEIN,LIE,67.32,62.8,72.46,0,1946-2025,
27,LITHUANIA,LTU,69.5,61.12,72.1,0,1946-2025,
28,LUXEMBOURG,LUX,71.06,55.04,58.44,0,1946-2025,
29,LATVIA,LVA,69.87,59.93,71.16,0,1946-2025,
30,MONACO,MCO,70.45,59.26,68.98,0,1946-2025,
31,REPUBLIC OF MOLDOVA,MDA,67.12,59.52,70.05,0,1946-2025,
32,MARSHALL ISLANDS,MHL,68.85,47.17,53.14,0,1946-2025,
33,THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA,MKD,64.06,60.35,69.16,0,1946-2025,
34,MONTENEGRO,MNE,71.1,65.0,71.35,0,1946-2025,
35,NETHERLANDS,NLD,71.03,56.57,59.37,0,1946-2025,
36,NORWAY,NOR,66.07,59.14,63.75,0,1946-2025,
37,NAURU,NRU,33.01,32.81,29.9,0,1946-2025,
38,NEW ZEALAND,NZL,64.93,61.57,63.65,0,1946-2025,
39,PALAU,PLW,51.94,30.06,30.83,0,1946-2025,
40,PORTUGAL,PRT,63.52,57.5,62.13,0,1946-2025,
41,SERBIA AND MONTENEGRO,SCG,71.67,66.31,78.61,0,1946-2025,
42,SAN MARINO,SMR,64.78,59.36,66.8,0,1946-2025,
43,SLOVAKIA,SVK,70.14,64.2,73.44,0,1946-2025,
44,SLOVENIA,SVN,69.75,63.06,72.55,0,1946-2025,
45,SWEDEN,SWE,63.86,59.98,65.4,0,1946-2025,
46,TONGA,TON,37.09,46.13,43.21,0,1946-2025,
47,TUVALU,TUV,42.41,46.16,42.78,0,1946-2025,
48,UNITED STATES,USA,100.0,39.66,41.39,0,1946-2025,
49,AFGHANISTAN,AFG,35.94,70.81,72.5,1,1946-2025,
50,ANGOLA,AGO,27.25,73.63,70.71,1,1946-2025,
51,ALBANIA,ALB,35.61,58.65,60.48,1,1946-2025,
52,UNITED ARAB EMIRATES,ARE,39.68,82.76,77.69,1,1946-2025,
53,ARGENTINA,ARG,53.8,75.0,78.71,1,1946-2025,
54,ARMENIA,ARM,54.63,71.42,76.86,1,1946-2025,
55,ANTIGUA AND BARBUDA,ATG,37.38,69.89,65.59,1,1946-2025,
