"country_code","name","agreements_w_usa","pct_agreement_w_usa","agreements_w_china","pct_agreement_w_china","agreements_w_russia","pct_agreement_w_russia"
"AFG","AFGHANISTAN","897","35.94","3672","70.81","3438","72.50"
"AGO","ANGOLA","506","27.25","3239","73.63","2878","70.71"
"ALB","ALBANIA","823","35.61","2705","58.65","2622","60.48"
"AND","ANDORRA","638","69.27","1290","62.17","1382","71.16"
"ARE","UNITED ARAB EMIRATES","855","39.68","3936","82.76","3410","77.69"
"ARG","ARGENTINA","1403","53.80","3902","75.00","3711","78.71"
"ARM","ARMENIA","490","54.63","1727","71.42","1740","76.86"
"ATG","ANTIGUA AND BARBUDA","570","37.38","2725","69.89","2365","65.59"
"AUS","AUSTRALIA","1698","65.26","2560","57.79","2380","59.43"
"AUT","AUSTRIA","1588","63.57","2786","58.73","2804","64.79"
"AZE","AZERBAIJAN","406","43.89","1898","77.25","1669","73.30"
"BDI","BURUNDI","816","35.56","3543","71.04","3236","70.24"
"BEL","BELGIUM","1880","72.45","2401","54.42","2345","58.16"
"BEN","BENIN","839","35.15","3684","73.05","3338","72.06"
"BEN","DAHOMEY","839","35.15","3684","73.05","3338","72.06"
"BFA","UPPER VOLTA","917","38.19","3919","77.54","3424","73.73"
"BFA","BURKINA FASO","917","38.19","3919","77.54","3424","73.73"
"BGD","BANGLADESH","796","40.65","3801","83.52","3219","77.14"
"BGR","BULGARIA","1081","48.02","2970","67.18","3752","85.58"
"BHR","BAHRAIN","876","40.37","3971","82.99","3429","77.81"
"BHS","BAHAMAS","883","42.72","3489","75.11","3020","70.59"
"BIH","BOSNIA AND HERZEGOVINA","530","55.61","1223","55.79","1189","58.03"
"BLR","BELARUS","811","37.29","3668","75.55","4309","90.39"
"BLR","BYELORUSSIAN SSR","811","37.29","3668","75.55","4309","90.39"
"BLZ","BELIZE","593","38.83","2691","68.82","2268","62.74"
"BOL","BOLIVIA","1152","44.86","4000","76.26","3421","72.16"
"BOL","BOLIVIA (PLURINATIONAL STATE OF)","1152","44.86","4000","76.26","3421","72.16"
"BRA","BRAZIL","1325","50.90","4148","79.43","3475","73.70"
"BRB","BARBADOS","997","43.39","3742","76.06","3302","72.91"
"BRN","BRUNEI DARUSSALAM","530","40.93","3057","88.20","2470","76.61"
"BTN","BHUTAN","792","36.50","3649","76.45","3214","72.88"
"BWA","BOTSWANA","884","38.38","3699","74.85","3237","71.14"
"CAF","CENTRAL AFRICAN EMPIRE","808","33.58","2858","56.57","2554","55.02"
"CAF","CENTRAL AFRICAN REPUBLIC","808","33.58","2858","56.57","2554","55.02"
"CAN","CANADA","1878","71.95","2293","54.49","2107","55.80"
"CHE","SWITZERLAND","434","67.18","1026","66.02","1014","71.56"
"CHL","CHILE","1410","54.02","3952","75.75","3315","70.37"
"CHN","CHINA","967","39.66","5296","100.00","3462","73.80"
"CIV","CÔTE D'IVOIRE","1101","45.68","3570","70.67","3074","66.28"
"CIV","IVORY COAST","1101","45.68","3570","70.67","3074","66.28"
"CIV","COTE D'IVOIRE","1101","45.68","3570","70.67","3074","66.28"
"CMR","UNITED REPUBLIC OF CAMEROON","1003","41.60","3502","69.20","3128","67.33"
"CMR","CAMEROON","1003","41.60","3502","69.20","3128","67.33"
"COD","CONGO (DEMOCRATIC REPUBLIC OF)","833","34.84","2738","54.26","2435","52.68"
"COD","ZAIRE","833","34.84","2738","54.26","2435","52.68"
"COD","DEMOCRATIC REPUBLIC OF THE CONGO","833","34.84","2738","54.26","2435","52.68"
"COD","CONGO (LEOPOLDVILLE)","833","34.84","2738","54.26","2435","52.68"
"COG","CONGO (BRAZZAVILLE)","763","32.19","3475","69.13","3174","68.27"
"COG","CONGO","763","32.19","3475","69.13","3174","68.27"
"COL","COLOMBIA","1259","47.94","4054","76.96","3458","72.69"
"COM","COMOROS","498","25.83","2688","59.63","2204","53.15"
"CPV","CAPE VERDE","651","33.15","3413","75.46","2992","71.80"
"CPV","CABO VERDE","651","33.15","3413","75.46","2992","71.80"
"CRI","COSTA RICA","1352","51.86","3702","71.11","3169","67.50"
"CSK","CZECHOSLOVAKIA","487","34.61","1756","69.74","2457","96.09"
"CUB","CUBA","811","34.82","4102","80.31","3791","80.16"
"CYP","CYPRUS","1186","49.11","3467","72.36","3391","77.10"
"CZE","CZECHIA","651","70.76","1239","64.13","1374","73.48"
"CZE","CZECH REPUBLIC","651","70.76","1239","64.13","1374","73.48"
"DDR","GERMAN DEMOCRATIC REPUBLIC","248","27.31","1376","75.77","1831","99.30"
"DEU","GERMANY","709","70.13","1354","63.09","1509","72.65"
"DJI","DJIBOUTI","668","36.50","3570","81.77","2952","73.60"
"DMA","DOMINICA","363","21.01","1531","36.27","1271","32.85"
"DNK","DENMARK","1774","68.02","2686","58.43","2639","62.68"
"DOM","DOMINICAN REPUBLIC","1244","47.48","3580","68.33","3052","64.52"
"DZA","ALGERIA","756","33.27","4089","82.26","3655","79.59"
"EAT","TANGANYIKA","19","40.43","32","60.38","23","74.19"
"EAZ","ZANZIBAR","0","0.00","0","0.00","0","0.00"
"ECU","ECUADOR","1239","47.51","4139","78.45","3593","75.32"
"EGY","UNITED ARAB REPUBLIC","1070","42.13","4248","81.10","3690","77.90"
"EGY","EGYPT","1070","42.13","4248","81.10","3690","77.90"
"ERI","ERITREA","349","39.66","1852","77.75","1523","68.70"
"ESP","SPAIN","1581","63.62","2847","61.52","2815","65.76"
"EST","ESTONIA","677","69.15","1295","60.97","1473","71.78"
"ETH","ETHIOPIA","1014","39.61","4070","77.81","3697","77.54"
"FIN","FINLAND","1493","60.10","2724","58.44","2866","66.82"
"FJI","FIJI","911","40.93","3287","68.18","2981","66.94"
"FRA","FRANCE","1867","73.53","2102","49.91","2113","54.54"
"FSM","MICRONESIA (FEDERATED STATES OF)","701","71.46","685","37.29","794","46.73"
"GAB","GABON","879","36.61","3585","71.03","3089","66.73"
"GBR","UNITED KINGDOM","2051","79.68","2015","51.18","1986","55.09"
"GEO","GEORGIA","599","62.85","1217","55.39","1373","66.94"
"GER","GERMANY, FEDERAL REPUBLIC OF","786","75.00","618","37.57","548","36.70"
"GHA","GHANA","1009","41.37","3891","76.29","3483","74.66"
"GIN","GUINEA","866","36.22","3833","75.81","3439","73.78"
"GMB","GAMBIA","661","28.66","3002","60.50","2548","55.80"
"GNB","GUINEA-BISSAU","606","30.27","3068","67.06","2692","63.84"
