"country_code","name","agreements_w_usa","pct_agreement_w_usa","agreements_w_china","pct_agreement_w_china","agreements_w_russia","pct_agreement_w_russia"
"AFG","AFGHANISTAN","341","37.35","1729","70.28","1338","59.18"
"AGO","ANGOLA","347","36.76","1832","74.53","1464","64.21"
"ALB","ALBANIA","622","65.27","1158","55.54","1264","63.23"
"AND","ANDORRA","638","69.27","1290","62.17","1382","71.16"
"ARE","UNITED ARAB EMIRATES","417","44.55","2156","87.82","1643","72.22"
"ARG","ARGENTINA","617","64.95","1835","76.36","1784","79.43"
"ARM","ARMENIA","490","54.63","1727","71.42","1740","76.86"
"ATG","ANTIGUA AND BARBUDA","432","45.43","1881","76.40","1536","67.34"
"AUS","AUSTRALIA","648","68.14","1163","60.86","1184","65.31"
"AUT","AUSTRIA","669","70.20","1371","64.13","1473","73.91"
"AZE","AZERBAIJAN","406","43.89","1898","77.25","1669","73.30"
"BDI","BURUNDI","287","31.96","1603","65.48","1292","56.54"
"BEL","BELGIUM","665","69.85","1294","63.34","1436","72.75"
"BEN","BENIN","377","39.98","1780","72.36","1424","62.43"
"BFA","BURKINA FASO","386","40.89","2017","82.03","1567","68.55"
"BGD","BANGLADESH","424","46.49","2146","87.24","1651","72.86"
"BGR","BULGARIA","652","68.49","1293","62.86","1428","72.12"
"BHR","BAHRAIN","427","45.96","2161","87.95","1647","72.62"
"BHS","BAHAMAS","515","54.10","1920","77.99","1610","70.68"
"BIH","BOSNIA AND HERZEGOVINA","530","55.61","1223","55.79","1189","58.03"
"BLR","BELARUS","358","44.25","1907","79.36","1845","81.31"
"BLZ","BELIZE","466","48.95","1932","78.57","1565","68.73"
"BOL","BOLIVIA (PLURINATIONAL STATE OF)","419","46.56","1991","81.23","1635","71.68"
"BOL","BOLIVIA","419","46.56","1991","81.23","1635","71.68"
"BRA","BRAZIL","497","52.15","2027","82.94","1629","71.79"
"BRB","BARBADOS","493","51.73","1974","80.18","1614","70.85"
"BRN","BRUNEI DARUSSALAM","408","44.98","2180","88.80","1658","73.33"
"BTN","BHUTAN","374","39.70","1889","77.04","1509","66.27"
"BWA","BOTSWANA","461","48.53","1939","78.79","1556","68.34"
"CAF","CENTRAL AFRICAN REPUBLIC","243","25.61","1154","46.93","942","41.19"
"CAN","CANADA","686","72.13","1076","60.38","1148","68.50"
"CHE","SWITZERLAND","434","67.18","1026","66.02","1014","71.56"
"CHL","CHILE","566","59.33","2032","83.18","1632","71.89"
"CHN","CHINA","304","38.05","2463","100.00","1705","76.01"
"CIV","CÔTE D'IVOIRE","451","47.47","1820","74.07","1460","63.95"
"CIV","COTE D'IVOIRE","451","47.47","1820","74.07","1460","63.95"
"CMR","CAMEROON","410","43.07","1608","65.31","1300","56.82"
"COD","DEMOCRATIC REPUBLIC OF THE CONGO","231","24.71","956","38.88","760","33.39"
"COD","ZAIRE","231","24.71","956","38.88","760","33.39"
"COG","CONGO","322","34.04","1685","68.47","1334","58.33"
"COL","COLOMBIA","466","48.95","2000","81.53","1639","71.95"
"COM","COMOROS","266","28.88","1485","60.49","1155","50.72"
"CPV","CABO VERDE","415","43.50","1888","76.72","1501","65.63"
"CPV","CAPE VERDE","415","43.50","1888","76.72","1501","65.63"
"CRI","COSTA RICA","573","60.13","1898","77.31","1596","69.97"
"CSK","CZECHOSLOVAKIA","19","61.29","33","50.77","49","72.06"
"CUB","CUBA","263","32.75","2122","87.25","1623","72.20"
"CYP","CYPRUS","634","66.60","1556","71.08","1416","69.62"
"CZE","CZECH REPUBLIC","651","70.76","1239","64.13","1374","73.48"
"CZE","CZECHIA","651","70.76","1239","64.13","1374","73.48"
"DEU","GERMANY","672","70.59","1288","63.86","1435","73.70"
"DJI","DJIBOUTI","407","43.67","2078","84.68","1608","70.68"
"DMA","DOMINICA","267","28.05","1107","44.95","955","41.85"
"DNK","DENMARK","674","70.80","1318","64.83","1464","74.66"
"DOM","DOMINICAN REPUBLIC","461","48.32","1749","71.24","1465","64.23"
"DZA","ALGERIA","349","38.86","2181","88.88","1663","73.03"
"ECU","ECUADOR","470","50.38","2055","83.60","1682","73.61"
"EGY","EGYPT","388","43.16","2151","87.69","1685","74.52"
"ERI","ERITREA","349","39.66","1852","77.75","1523","68.70"
"ESP","SPAIN","669","70.35","1365","65.85","1498","74.94"
"EST","ESTONIA","663","69.72","1266","61.58","1436","72.38"
"ETH","ETHIOPIA","365","38.79","1990","80.89","1615","70.90"
"FIN","FINLAND","676","71.01","1336","64.02","1472","74.49"
"FJI","FIJI","432","45.33","1659","67.69","1427","62.67"
"FRA","FRANCE","705","74.76","1137","59.28","1296","68.64"
"FSM","MICRONESIA (FEDERATED STATES OF)","691","72.51","639","36.25","754","46.37"
"GAB","GABON","333","35.13","1694","68.92","1357","59.44"
"GBR","UNITED KINGDOM","721","76.38","1090","61.62","1258","72.30"
"GEO","GEORGIA","599","62.85","1217","55.39","1373","66.94"
"GHA","GHANA","415","44.20","1952","79.25","1538","67.57"
"GIN","GUINEA","378","40.30","1924","78.18","1502","65.65"
"GMB","GAMBIA","305","32.69","1437","58.37","1149","50.44"
"GNB","GUINEA-BISSAU","319","33.47","1557","63.22","1210","52.88"
